,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,sociales_ciudanas_rank,c_naturales_rank,matematicas_rank,lectura_critica_rank,ingles_rank,COLE_COD_DANE_SEDE,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,COLE_GENERO,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,Punt_lectura_critica_mean_2017,Punt_matematicas_mean_2017,Punt_c_naturales_mean_2017,Punt_sociales_ciudadanas_mean_2017,Punt_ingles_mean_2017,Punt_global_mean_2017,Punt_lectura_critica_mean_2018,Punt_matematicas_mean_2018,Punt_c_naturales_mean_2018,Punt_sociales_ciudadanas_mean_2018,Punt_ingles_mean_2018,Punt_global_mean_2018,Punt_lectura_critica_mean_2019,Punt_matematicas_mean_2019,Punt_c_naturales_mean_2019,Punt_sociales_ciudadanas_mean_2019,Punt_ingles_mean_2019,Punt_global_mean_2019,Punt_lectura_critica_mean_2020,Punt_matematicas_mean_2020,Punt_c_naturales_mean_2020,Punt_sociales_ciudadanas_mean_2020,Punt_ingles_mean_2020,Punt_global_mean_2020,Punt_lectura_critica_mean_2021,Punt_matematicas_mean_2021,Punt_c_naturales_mean_2021,Punt_sociales_ciudadanas_mean_2021,Punt_ingles_mean_2021,Punt_global_mean_2021,COLE_NOMBRE_SEDE,direccion,telefono,zona,niveles,caracter,especialidad,idiomas,correo electronico,modelos educativos,capacidades excepcionales,discapacidades,matricula contratada,estrato socio-economico
10,305001003696,293.5,2.0,5.0,3.0,1.0,4.0,305001003696,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,63.03703703703704,59.55555555555556,57.77777777777778,61.2962962962963,57.11111111111112,300.7407407407408,61.45,57.425,58.575,58.825,63.775,297.1,59.609756097560975,55.8780487804878,54.95121951219512,54.95121951219512,60.170731707317074,283.2439024390244,55.526315789473685,50.78947368421053,49.10526315789474,51.36842105263158,54.63157894736842,259.6842105263158,60.96,56.88,57.96,58.68,64.08,295.32,LICEO SAN RAFAEL,CL 30 A 79 12 ,2380626,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,INGLÉS,rectoria@liceosanrafaelbelen.edu.co,EDUCACIÓN TRADICIONAL,,"SORDERA PROFUNDA,HIPOACUSIA O BAJA AUDICIÓN",NO,
11,305001003734,313.0,4.0,5.0,3.0,2.0,1.0,305001003734,MAÑANA,MEDELLÍN,ANTIOQUIA,MASCULINO,A,N,ACADÉMICO,S,URBANO,5001,5,63.35251798561151,64.03597122302158,61.34532374100719,61.84892086330935,67.72661870503597,315.19424460431657,63.48538011695906,62.07602339181287,59.994152046783626,61.49122807017544,68.95906432748538,311.57894736842104,62.02970297029703,62.366336633663366,58.24752475247525,57.21782178217822,67.25742574257426,302.5940594059406,61.66346153846154,63.25,58.24038461538461,60.125,65.125,305.78846153846155,61.44705882352941,60.36470588235294,57.61176470588235,58.62352941176471,69.30588235294118,301.3529411764706,INSTITUTO SAN CARLOS,DG 79 15 123 ,4753530 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,isancarlos@delasalle.edu.co,EDUCACIÓN TRADICIONAL,,,NO,
12,305001003769,332.0,5.0,4.0,2.0,3.0,1.0,305001003769,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,FEMENINO,B,N,ACADÉMICO,S,URBANO,5001,5,64.73214285714286,63.82142857142857,63.07142857142857,63.642857142857146,82.75,326.44642857142856,65.04545454545455,68.11363636363636,65.47727272727273,64.88636363636364,83.8409090909091,336.27272727272725,65.57407407407408,67.62962962962963,64.27777777777777,64.37037037037037,82.79629629629629,334.01851851851853,65.18367346938776,65.55102040816327,61.06122448979592,59.44897959183673,85.22448979591837,322.6734693877551,65.84615384615384,66.51923076923077,62.38461538461539,61.65384615384615,86.48076923076923,329.13461538461536,COLEGIO MARYMOUNT,CL 7 25 64 ,4310166,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,INGLÉS,cormary@marymount.edu.co,EDUCACIÓN TRADICIONAL,,"LESIÓN NEUROMUSCULAR,DISCAPACIDAD VISUAL BAJA VISIÓN IRREVERSIBLE,SORDERA PROFUNDA,DISCAPACIDAD MÚLTIPLE,TRASTORNO DEL ESPECTRO AUTISTA,HIPOACUSIA O BAJA AUDICIÓN",NO,
13,305001003785,273.0,1.0,4.0,3.0,2.0,5.0,305001003785,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,,,,,,,,,,,,,,,,,,,54.71794871794872,53.35897435897436,47.20512820512821,52.92307692307692,47.282051282051285,258.3333333333333,57.30555555555556,54.0,52.138888888888886,53.41666666666666,53.138888888888886,270.6666666666667,COLEGIO MILITAR JOSE MARIA CORDOBA,CL 49 40 63 ,2161022 - 100,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,rectoria@colmiljosemariacordoba.edu.co,EDUCACIÓN TRADICIONAL,,,NO,
14,305001003785,267.0,5.0,3.0,4.0,1.0,2.0,305001003785,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,,,,,,,,,,,,,,,,,,,54.71794871794872,53.35897435897436,47.20512820512821,52.92307692307692,47.282051282051285,258.3333333333333,57.30555555555556,54.0,52.138888888888886,53.41666666666666,53.138888888888886,270.6666666666667,COLEGIO MILITAR JOSE MARIA CORDOBA,CL 49 40 63 ,2161022 - 100,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,rectoria@colmiljosemariacordoba.edu.co,EDUCACIÓN TRADICIONAL,,,NO,
15,305001003793,312.5,5.0,3.0,2.0,4.0,1.0,305001003793,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,TÉCNICO,S,URBANO,5001,5,63.21052631578947,66.55263157894737,63.5,62.59649122807018,65.60526315789474,320.4736842105263,62.0686274509804,63.66666666666666,62.0,59.990196078431374,69.00980392156863,312.37254901960785,61.77884615384615,62.45192307692308,58.86538461538461,55.94230769230769,67.60576923076923,301.7980769230769,60.65476190476191,61.642857142857146,58.67857142857143,60.5,61.26190476190476,302.1904761904762,62.0,62.02777777777778,58.879629629629626,57.7962962962963,68.66666666666667,304.1666666666667,INSTITUTO SALESIANO PEDRO JUSTO BERRIO,KR 87 A 32 A 101 ,4481605 /3117469499,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",TÉCNICO/ACADEMICO,"OTRO,INDUSTRIAL,ACADÉMICA",INGLÉS,secretariaacademica.pjb@salesianos.edu.co,EDUCACIÓN TRADICIONAL,,,NO,ESTRATO 4
16,305001003904,262.0,3.0,2.0,5.0,1.0,4.0,305001003904,MAÑANA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,54.66666666666666,53.41666666666666,53.833333333333336,54.833333333333336,51.41666666666666,269.9166666666667,54.75,58.0,50.0,51.5,56.5,269.0,,,,,,,35.5,33.0,37.5,37.0,40.5,180.5,54.71428571428572,47.71428571428572,49.85714285714285,52.142857142857146,58.42857142857143,258.42857142857144,INSTITUTO ANTIOQUIA Y CIA LTDA,CL 46 41 13 ,448-59-61  2163596,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",TÉCNICO/ACADEMICO,"COMERCIAL,ACADÉMICA",INGLÉS,institutoantioquia@hotmail.com,"PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL",,,NO,
17,305001003947,280.0,4.0,5.0,3.0,2.0,1.0,305001003947,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,58.310344827586206,54.41379310344828,53.310344827586206,55.03448275862069,62.06896551724138,278.9655172413793,59.95454545454545,56.90909090909091,53.59090909090909,57.90909090909091,65.45454545454545,288.6818181818182,55.523809523809526,52.80952380952381,50.66666666666666,45.04761904761905,61.90476190476191,259.3333333333333,57.294117647058826,56.41176470588236,50.23529411764706,54.41176470588236,59.1764705882353,274.7058823529412,54.1578947368421,50.63157894736842,52.05263157894737,51.42105263157895,62.05263157894737,264.1578947368421,CENTRO EDUCACIONAL CONQUISTADORES,IND AVENIDA AGUAS FRIAS,3413765,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,cec2@epm.net.co,"EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,"DISCAPACIDAD INTELECTUAL,LESIÓN NEUROMUSCULAR,SORDERA PROFUNDA,DISCAPACIDAD MÚLTIPLE,HIPOACUSIA O BAJA AUDICIÓN",NO,
18,305001003955,339.0,4.0,5.0,2.0,3.0,1.0,305001003955,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,FEMENINO,A,N,ACADÉMICO,S,URBANO,5001,5,68.61666666666666,69.03333333333333,65.8,67.86666666666666,78.68333333333334,343.31666666666666,69.16129032258064,69.74193548387096,66.54838709677419,67.38709677419355,79.33870967741936,345.2903225806452,67.12121212121212,69.42424242424242,64.86363636363636,63.90909090909091,75.74242424242425,335.2878787878788,66.73584905660377,69.13207547169812,66.47169811320755,66.9245283018868,75.22641509433963,339.60377358490564,67.609375,68.484375,63.921875,65.828125,75.984375,336.0,COMUNIDAD COLEGIO JESUS MARIA,CL 47 D 77 31 ,4099800,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,secretaria.bachillerato@jesusmariamed.edu.co,EDUCACIÓN TRADICIONAL,,,NO,
19,305001003963,278.0,4.0,5.0,2.0,1.0,3.0,305001003963,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,RURAL,5001,5,,,,,,,,,,,,,58.711693548387096,55.965725806451616,52.752016129032256,54.17540322580645,58.52217741935484,278.22983870967744,57.566750629722925,55.05793450881612,52.702770780856426,55.0,54.455919395466,275.1536523929471,60.1,57.251612903225805,55.33225806451613,55.18064516129032,59.90967741935484,285.9387096774193,LICEO SALAZAR Y HERRERA,CL 42 C 86 17 ,4600707  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,anamarian@salazaryherrera.edu.co octavioobr@salazaryherrera.edu.co sandra@salazaryherrera.edu.co,EDUCACIÓN TRADICIONAL,,,NO,
20,305001003963,292.0,3.0,5.0,4.0,1.0,2.0,305001003963,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,RURAL,5001,5,,,,,,,,,,,,,58.711693548387096,55.965725806451616,52.752016129032256,54.17540322580645,58.52217741935484,278.22983870967744,57.566750629722925,55.05793450881612,52.702770780856426,55.0,54.455919395466,275.1536523929471,60.1,57.251612903225805,55.33225806451613,55.18064516129032,59.90967741935484,285.9387096774193,LICEO SALAZAR Y HERRERA,CL 42 C 86 17 ,4600707  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,anamarian@salazaryherrera.edu.co octavioobr@salazaryherrera.edu.co sandra@salazaryherrera.edu.co,EDUCACIÓN TRADICIONAL,,,NO,
21,305001003963,297.0,2.0,5.0,4.0,1.0,3.0,305001003963,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,RURAL,5001,5,,,,,,,,,,,,,58.711693548387096,55.965725806451616,52.752016129032256,54.17540322580645,58.52217741935484,278.22983870967744,57.566750629722925,55.05793450881612,52.702770780856426,55.0,54.455919395466,275.1536523929471,60.1,57.251612903225805,55.33225806451613,55.18064516129032,59.90967741935484,285.9387096774193,LICEO SALAZAR Y HERRERA,CL 42 C 86 17 ,4600707  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,anamarian@salazaryherrera.edu.co octavioobr@salazaryherrera.edu.co sandra@salazaryherrera.edu.co,EDUCACIÓN TRADICIONAL,,,NO,
22,305001004161,299.0,4.0,5.0,3.0,2.0,1.0,305001004161,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,64.12280701754386,60.8421052631579,60.21052631578947,62.24561403508772,69.01754385964912,312.0,60.01538461538462,58.58461538461538,57.0,55.8,67.8,293.0923076923077,60.333333333333336,57.56060606060606,54.06060606060606,55.34848484848485,67.34848484848484,288.2121212121212,59.69491525423729,60.08474576271186,54.08474576271186,55.61016949152543,64.0677966101695,289.4406779661017,61.0,57.36111111111112,53.833333333333336,55.11111111111112,64.63888888888889,287.1388888888889,COLEGIO DE LA PRESENTACION - MEDELLIN,KR 84 44 73 ,6041259-6046761,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,secretaria@presentacionmedellin.edu.co,EDUCACIÓN TRADICIONAL,,SORDERA PROFUNDA,NO,
23,305001004200,336.0,5.0,3.0,2.0,4.0,1.0,305001004200,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,65.74774774774775,69.74774774774775,67.009009009009,65.13513513513513,72.78378378378379,336.8018018018018,66.24657534246575,68.01369863013699,65.1917808219178,65.17808219178082,74.10958904109589,333.7808219178082,65.22549019607843,68.6078431372549,64.40196078431373,62.1078431372549,71.34313725490196,327.84313725490193,66.35211267605634,69.84507042253522,64.49295774647888,66.85915492957747,74.12676056338029,337.1830985915493,67.03092783505154,69.5360824742268,63.77319587628866,62.63917525773196,76.65979381443299,332.91752577319585,COLEGIO CALASANZ,KR 82 48 A 120 ,3117061470,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,calasanz@calasanz-medellin.edu.co,EDUCACIÓN TRADICIONAL,,"DISCAPACIDAD VISUAL BAJA VISIÓN IRREVERSIBLE,DISCAPACIDAD VISUAL CEGUERA",NO,
24,305001004218,283.0,2.0,4.0,3.0,1.0,5.0,305001004218,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,TÉCNICO/ACADÉMICO,S,URBANO,5001,5,59.3,55.12,55.58,58.44,54.5,284.58,58.48648648648648,54.43243243243244,53.7027027027027,54.91891891891892,57.62162162162162,277.8378378378378,56.9622641509434,56.471698113207545,53.0566037735849,52.62264150943396,53.66037735849056,273.45283018867923,57.204081632653065,54.12244897959184,51.89795918367347,53.16326530612245,50.42857142857143,269.0,57.42592592592592,53.07407407407408,51.25925925925926,52.05555555555556,55.351851851851855,268.0740740740741,COLEGIO NUESTRA SEÑORA DE LOURDES,IND CL 82 50 BB 30,2348789-2120728,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",TÉCNICO/ACADEMICO,"OTRO,COMERCIAL,ACADÉMICA",INGLÉS,rectorialourdes@css.org.co secretarialourdes@css.org.co,EDUCACIÓN TRADICIONAL,,,SI,
